37.5,6.4
51.5,10.2
61.3,12.4
61.3,13
63.6,13.2
66.1,13
70,12.7
92.7,13.9
90.5,15.5
90.5,15.8
94.8,15.8
97,16.8
97,17.1
97,17.8
102,14.8
102,15.5
103.6,16.1
100.4,16.2
108.4,17.9
114,15.9
115.3,15.8
114.9,16.7
114.7,17.6
123.6,16.8
125.8,17
119.1,18.2
118.9,19.2
141.1,18.6
37.657,6.4777
51.703,10.036
61.113,12.503
61.507,12.766
63.666,13.088
65.899,12.773
69.889,12.499
92.723,14.062
90.729,15.597
90.732,15.709
94.629,16.025
97.235,16.567
97.229,17.069
96.993,17.741
102.15,14.933
101.82,15.648
103.56,15.943
100.61,16.195
108.55,17.873
114.23,15.973
115.38,15.905
114.67,16.827
114.87,17.488
123.82,16.89
125.89,17.078
119.23,18.031
119.02,19.009
141.05,18.599
140.21,18.021
138.7,18.651
135.08,17.991
131.31,17.341
39.209,7.8219
38.609,7.4098
